city,area_sqft,bedrooms,bathrooms,parking,building_age,near_metro,gym,pool,price
Mumbai,4188,1,2,1,8,1,1,1,77776895
Delhi,1099,1,2,1,18,0,1,0,15707905
Hyderabad,1013,6,4,0,6,1,0,0,12675368
Delhi,6491,5,2,0,5,1,1,0,89158766
Delhi,6727,6,1,0,17,0,0,0,90210245
Chennai,1566,4,2,0,4,1,1,1,15396336
Hyderabad,3386,5,3,0,18,1,0,0,31123081
Hyderabad,6553,5,2,1,10,0,1,0,56847225
Hyderabad,3153,6,4,1,4,0,0,1,30168239
Delhi,5405,6,1,0,29,0,1,0,72073802
Mumbai,6776,1,1,1,26,1,0,1,123393133
Hyderabad,1588,5,2,0,24,1,1,1,16366264
Pune,4885,1,2,1,29,0,1,1,47793823
Delhi,5364,4,2,1,23,1,0,0,72389625
Chennai,3014,3,2,0,24,1,0,1,24527561
Mumbai,4469,1,4,0,8,0,0,0,82589136
Pune,3784,6,4,0,26,0,0,1,39797648
Pune,5066,2,1,1,23,0,1,1,49742059
Chennai,2696,3,2,0,29,1,0,1,22712746
Mumbai,4683,4,4,1,7,1,0,0,87859850
Delhi,1289,6,4,1,10,0,1,1,21358145
Bangalore,3975,3,1,1,26,1,0,1,38157058
Mumbai,3653,6,1,1,21,0,0,0,68150042
Chennai,2164,1,3,0,5,0,0,1,18625936
Pune,1809,6,4,0,29,0,1,1,21093671
Delhi,1364,4,1,0,14,1,0,1,21387676
Mumbai,4363,2,4,0,5,1,1,0,81564297
Bangalore,5889,1,4,1,25,1,1,1,56179899
Bangalore,3863,1,2,0,21,1,1,0,36835954
Hyderabad,4024,4,2,0,28,1,1,0,36133755
Hyderabad,4286,4,2,0,29,1,1,0,37237013
Chennai,523,3,2,0,10,0,1,1,5814881
Mumbai,3503,2,4,1,28,0,0,1,65177396
Mumbai,6482,6,3,1,14,0,0,0,120054588
Pune,810,3,3,1,11,0,0,0,10185193
Pune,6080,6,3,1,8,1,1,0,62483598
Pune,1731,6,4,0,9,0,0,1,21040445
Hyderabad,4288,6,3,1,28,0,1,1,38567338
Mumbai,3211,3,4,0,14,0,1,1,60414533
Mumbai,5301,1,1,0,16,1,0,0,95668245
Bangalore,5955,4,3,0,15,0,0,0,56288603
Hyderabad,921,1,4,0,25,0,0,0,7560751
Delhi,2273,2,1,1,21,0,0,1,31105617
Hyderabad,6964,3,2,1,7,0,0,1,59499559
Delhi,4068,2,1,0,16,1,1,1,54559367
Bangalore,1446,4,1,1,10,1,1,0,16002520
Chennai,1686,4,3,1,10,0,1,1,16417795
Mumbai,2334,5,2,0,5,0,0,1,45759976
Bangalore,2064,2,2,0,24,1,1,0,20102175
Mumbai,5444,1,3,1,21,1,0,1,100005405
Pune,6185,2,1,0,29,1,1,1,61097561
Chennai,5914,3,4,1,1,1,0,1,49366248
Chennai,6685,4,3,0,0,0,1,1,54541619
Bangalore,2447,4,1,0,19,1,1,0,24295247
Chennai,1808,2,4,0,5,0,1,0,15770559
Delhi,3486,2,3,0,25,1,1,0,47360380
Chennai,886,6,3,1,25,0,0,0,9016918
Mumbai,6631,2,2,1,24,1,1,1,122419586
Mumbai,1661,6,2,1,4,0,1,0,33621626
Mumbai,3758,3,2,1,22,1,1,0,69894503
Mumbai,6621,3,4,0,21,1,1,0,122134397
Delhi,5311,1,3,0,21,0,1,0,69310104
Hyderabad,4433,2,2,1,8,0,0,1,38613986
Pune,3347,1,2,1,4,1,1,0,34007252
Bangalore,5021,5,3,1,17,0,1,1,49404410
Mumbai,1939,3,4,1,23,0,1,1,38263648
Chennai,6669,4,2,1,26,1,0,1,53208291
Mumbai,3942,6,1,0,29,1,1,0,73655752
Chennai,4980,5,4,1,18,1,0,1,41912567
Pune,555,4,2,1,14,0,1,0,8156922
Pune,3824,5,1,0,29,1,0,0,38261280
Pune,605,1,2,0,14,1,0,1,7581462
Chennai,3701,1,4,1,8,0,0,1,30437203
Mumbai,1169,6,3,1,13,0,0,1,25349131
Pune,4971,3,3,1,4,1,0,1,51571413
Delhi,1242,6,4,0,29,0,0,1,19888150
Chennai,1466,4,2,1,16,0,1,1,14591864
Chennai,807,5,4,1,14,1,1,0,11111458
Mumbai,2638,6,1,0,19,0,0,0,50404511
Chennai,3964,2,2,0,24,0,0,1,30476979
Chennai,5397,2,4,0,16,0,1,0,42363615
Pune,609,3,3,0,23,1,0,0,7838107
Mumbai,4132,6,4,1,23,0,1,0,78105453
Pune,6260,4,2,0,24,1,0,0,61306990
Pune,4935,2,4,0,8,1,1,0,50024058
Mumbai,6184,3,3,0,12,0,0,1,113908148
Bangalore,5574,6,1,1,21,1,0,1,54408781
Pune,6999,3,4,0,12,1,1,0,70455857
Delhi,2415,4,4,1,4,1,1,0,36741021
Delhi,4763,2,1,0,27,0,0,1,62934942
Chennai,1056,2,4,1,27,1,1,1,10874789
Delhi,5500,2,3,1,13,1,0,0,74295039
Chennai,604,1,1,1,29,1,0,1,6113288
Bangalore,2547,2,3,0,6,1,0,1,26474942
Mumbai,6793,5,3,1,24,1,0,0,125876300
Mumbai,645,1,3,0,4,1,1,0,13921373
Mumbai,3263,6,2,0,11,1,0,1,62704734
Delhi,1373,1,1,1,2,0,0,0,18848324
Bangalore,798,1,2,0,8,0,1,0,7740157
Delhi,3738,1,2,1,9,0,1,0,49514322
Delhi,6332,3,4,0,28,1,0,0,85065663
Bangalore,1145,5,1,1,0,1,0,1,14250665
Bangalore,5233,4,4,0,13,0,0,0,50120829
Bangalore,6882,2,2,1,0,1,0,1,65763403
Bangalore,3578,1,4,0,9,1,1,0,34625228
Mumbai,3011,4,3,0,29,0,0,0,55625777
Hyderabad,1283,3,2,1,10,1,1,0,13754065
Hyderabad,5492,4,3,0,27,0,0,0,46370091
Bangalore,870,1,1,0,19,0,1,0,7838131
Hyderabad,986,6,4,1,1,1,1,0,13488482
Hyderabad,2537,5,2,1,22,0,0,0,23418362
Bangalore,6808,4,1,1,1,1,1,0,65595989
Hyderabad,3696,1,3,1,22,1,1,1,32247052
Delhi,1860,1,4,1,23,0,1,1,25642111
Chennai,4787,2,4,0,27,1,1,1,39370795
Chennai,5325,6,2,1,10,1,0,1,44441240
Bangalore,2761,2,4,0,7,0,1,1,27220097
Mumbai,3121,6,4,0,2,1,0,0,60767237
Bangalore,1456,5,3,0,8,1,1,0,18028263
Mumbai,880,2,3,0,25,0,0,0,16632612
Chennai,4149,5,3,0,15,1,0,0,35462319
Bangalore,5393,3,1,1,25,1,1,1,51059124
Pune,738,3,1,1,15,1,0,1,10406909
Delhi,1605,6,4,1,9,0,1,1,26084757
Hyderabad,1886,6,1,1,5,0,0,1,18671955
Mumbai,3052,2,2,1,19,0,1,0,55645526
Pune,2749,3,3,1,23,1,1,0,28962846
Hyderabad,2027,4,1,0,19,0,0,0,17943188
Hyderabad,2167,4,4,1,19,0,0,1,21537333
Bangalore,4632,4,3,1,10,0,1,1,45432516
Hyderabad,3191,3,1,1,7,0,1,0,27574942
Delhi,4172,4,3,1,19,1,1,0,58387311
Pune,2496,5,1,1,0,0,1,0,27146587
Hyderabad,1925,1,4,0,5,1,0,1,19318722
Bangalore,3312,6,1,0,27,0,0,1,32580088
Delhi,3747,2,1,0,7,1,0,0,51266046
Chennai,3092,5,1,1,29,0,0,1,25776275
Pune,1990,4,3,1,13,1,1,0,22241725
Hyderabad,1724,1,1,1,2,0,1,0,15775773
Bangalore,3087,2,1,0,1,1,0,0,30296762
Chennai,3564,5,1,0,21,0,1,1,29621444
Chennai,6618,2,3,1,0,1,1,1,54365151
Mumbai,1332,6,4,1,10,0,0,1,28476210
Delhi,5192,3,4,0,20,1,0,1,71476696
Hyderabad,2940,4,4,0,5,0,0,1,27125999
Bangalore,5295,5,1,0,7,1,0,0,51215780
Mumbai,2146,5,3,1,6,0,0,0,42319619
Delhi,6614,1,4,0,5,0,0,1,88220209
Mumbai,940,1,4,1,17,0,0,1,18403516
Pune,6456,1,4,1,11,1,1,0,63593974
Delhi,6236,2,2,1,7,0,1,1,83453758
Delhi,2029,4,3,0,23,0,1,1,29362020
Hyderabad,3465,2,2,0,26,0,0,1,29971346
Delhi,2867,4,1,0,20,1,0,1,40023558
Mumbai,3786,5,4,0,18,1,0,0,72282019
Delhi,5690,2,1,1,27,0,1,1,74370604
Hyderabad,5163,2,3,1,26,0,0,0,42988073
Hyderabad,4831,2,1,1,23,1,1,1,42508240
Pune,1804,3,1,1,4,1,0,1,19814994
Mumbai,3534,6,4,0,18,1,1,0,68493745
Chennai,4188,4,3,1,8,0,1,0,34611243
Chennai,4473,4,1,0,24,0,0,1,35246911
Delhi,1685,2,2,1,11,1,0,0,23876533
Pune,3762,3,4,0,14,0,1,0,37660983
Bangalore,5628,2,2,1,22,1,1,0,52644372
Delhi,2607,4,4,1,12,1,0,1,38606187
Pune,2340,6,1,0,23,1,0,1,25717965
Mumbai,4820,6,4,1,12,1,0,1,92711791
